case_outcome,case_title,case_text
distinguished,Morton v The Union Steamship Company of New Zealand Limited [1951] HCA 42 ; (1951) 83 CLR 402,"The respondents relied on Morton v The Union Steamship Company of New Zealand Limited [1951] HCA 42 ; (1951) 83 CLR 402. In that case the High Court held (at 410) that reg 188 of the Excise Regulations 1925 (Cth) were ultra vires the Excise Act 1901 (Cth) and void because regulations cannot vary or depart from the positive provisions made by the Act or... go outside the field of operation which the Act marks out for itself. The regulation in question was invalid because it imposed ""a distinct and independent addition of liability to the liabilities which the legislature has provided"" (at 412). 18 In the present case the respondents eschewed any argument that reg 2.14 was ultra vires and therefore void. 19 The present case is not like Morton where the statute covered the field and left no room for regulations. On the contrary, the scheme of both Old Act and New Act is to leave to the regulations questions of who may enforce."
cited,St. George Bank Ltd v Rabo Australia Ltd (2004) 211 ALR 147,"As to the settled principles to be applied in an application pursuant to O 15A, r 6, the principles are these: the rule is to be beneficially construed and afforded the fullest scope its language reasonably allows; the 'proper brake' upon any excesses in the application of the rule lies in the exercise of the court's discretion ; the test for determining 'reasonable cause to believe' is an objective one; 'reasonable cause to believe' strikes a relationship with whether the applicant has a right to obtain particular relief or whether the applicant may have a right to relief and thus hypothecates a remedial outcome in the proposed proceedings on the assumption the evidence makes out each integer in the applicant's cause of action; such a belief, on either footing, requires more than mere assertion, suspicion or conjecture; a mere possibility of a right to relief is insufficient; the evidence, that is, an assessment of all the evidence, must incline the mind towards acceptance of the existence of a matter or fact in controversy out of which a right to relief arises or may arise; it is no answer to an application under O 15A, r 6 to say that the proceeding is in the nature of a 'fishing expedition'; the rule contemplates that an applicant will forensically examine the field of documents the subject of the order expressly for the purpose of enabling a decision to be made whether to commence a proceeding; although the rule contemplates such an examination of the respondent's documents the subject of the order, the invasive nature of the order is predicated upon an objectively established reasonable cause to believe that the applicant has or may have a right to contended relief; although an applicant does not need to establish a prima facie case, an applicant must establish that there is a reasonable cause to believe that each element of the potential cause of action is made out; although the threshold test may be set at quite a low level, the evidence must establish facts crystallising all the elements of a cause of action grounding the possible grant of the contended relief (see: St. George Bank Ltd v Rabo Australia Ltd (2004) 211 ALR 147 per Hely J [25] [29]; Hooper &amp; Ors v Kirella Pty Ltd [1999] FCA 1584 ; (1999) 96 FCR 1 at pp 11 and 12 per Wilcox, Sackville and Katz JJ [35] [40]; Glencore International AG v Selwyn Mines Ltd (2006) 223 ALR 238 at pp 240 and 241 [8] [16] per Lindgren J; C7 Pty Ltd v Foxtel Management Pty Ltd [2001] FCA 1864 at [12] per Gyles J)."
cited,Carringbush Corporation Pty Ltd v ASIC (2008) 26 ACLC 506,"question arises under s 468(1) of the Corporations Act 2001 (Cth): Carringbush Corporation Pty Ltd v ASIC [2008] FCA 474; (2008) 26 ACLC 506. Put in simple terms, the following distributions occurred in the 2001 income year. CEPL as trustee of the CU Trust distributed the entire income of the trust to or for the benefit of a discretionary unit holder, DCE Holdings Pty Ltd (""Clark Holdings"") as trustee of the David Clark Family Trust (the ""Clark Family Trust""). Clark Holdings distributed the income so received to David Clark Enterprises Pty Ltd (""Clark Enterprises"") as trustee of the David Clark Enterprises Trust (the ""Enterprises Trust"") and Clark Enterprises distributed the income of the trust to David Clark and Helen Clark in equal shares as beneficiaries of that trust. By s 97 of the 1936 Act, the assessable income of David Clark and Helen Clark includes a 50% share of the net income of the Enterprises Trust and in the event that the taxpayers are not able to establish that the CU Trust estate suffered previously unapplied net capital losses extinguishing the net capital gain arising out of the disposal of the Gladstone properties in the 2001 income year, the net income of the Enterprises Trust will also include a significant part of the net capital gain (discounted by 50%) made by the CU Trust in the 2001 income year. Accordingly, the first question to be determined in these proceedings is whether the applicants have discharged the onus of establishing that in the 1988 income year, the trustee of the CU Trust acquired the Rothwells shares."
cited,White Industries Aust Ltd v Commissioner of Taxation [2007] FCA 511 ; (2007) 160 FCR 298,"The intent of s 31A is to enable summary judgment to be obtained even in circumstances where a consideration of prior authorities such as Dey v Victorian Railway Commissioners [1949] HCA 1 ; (1949) 78 CLR 62 and General Steel Industries Inc v Commissioner for Railways [1964] HCA 69 ; (1964) 112 CLR 125 , which had hitherto informed an assessment on summary judgment of no reasonable prospect of success, might have suggested that an application for summary judgment should be dismissed. In White Industries Aust Ltd v Commissioner of Taxation [2007] FCA 511 ; (2007) 160 FCR 298 Lindgren J made a number of observations in relation to the changes wrought by s 31A to the determination of a summary judgment application. Many other judges of this Court, including me (q v Granitgard Pty Ltd v Termicide Pest Control Pty Ltd [2008] FCA 55) , have gained assistance from those observations. Having regard to those observations, I approach the application made by the Respondents on the basis that a reasonable prospect of success for the purposes of the section is one which is real, not fanciful or merely arguable. So approaching the matter, my opinion is that the substantive application has no reasonable prospect of success."
considered,R v Australian Broadcasting Tribunal; ex parte Hardiman [1980] HCA 13 ; (1980) 144 CLR 13,"Given that QWI was an active contradictor, the Delegate properly took the stance of abiding the order of the court and not wishing to be heard save if need be in respect of costs: R v Australian Broadcasting Tribunal; ex parte Hardiman [1980] HCA 13 ; (1980) 144 CLR 13 , at 17, 35-36. 12 For the reasons which follow, I have concluded that the various grounds upon which, by their amended application, the Applicants sought the judicial review of the agreement registration decision do not lead to the result that the decision should be set aside. Work done under the Traveston Dam Agreement is therefore a valid future act for the purposes of the Native Title Act . 13 The grounds of review which came to be advanced by the Applicants are set out below: 1. The First Respondent erred in law and/or improperly exercised the power conferred upon her in finding that the requirements of Section 24CG(3)(b) of the Native Title Act had been satisfied in circumstances where: (a) There was no evidence from which the First Respondent could reasonably be satisfied that the Gubbi Gubbi People and the Kabi Kabi People were part of the same wider group; (b) The First Respondent failed to take into account the following relevant considerations in reaching the conclusion that the Gubbi Gubbi People and the Kabi Kabi People were part of the same wider group: (i) That membership of the Gubbi Gubbi People was based on matrilineal descent from the apical ancestors James Crowe and Maggie Palmer whereas membership of the Kabi Kabi People was based on cognatic descent from a number of apical ancestors in addition to James Crowe and Maggie Palmer; and (ii) That the Gubbi Gubbi People have a mandatory traditional decision making process in relation to matters affecting land involving the reaching of a consensus decision by the Elders of the respective family groups within the clan without recourse to a majority vote of the group as adopted by the Kabi Kabi People when purporting to authorise the ILUA. (c) There was no evidence from which the First Respondent could reasonably be satisfied that the Gubbi Gubbi People did not adhere to a mandatory traditional decision making process as aforesaid; (d) The First Respondent failed to take into consideration the fact that the Gubbi Gubbi People both before and at the authorisation meeting disputed the decision making process adopted at the authorisation meeting and did not authorise the making of the ILUA; (e) The First Respondent concluded that there was no mandatory traditional decision making process applicable to the subject decision in reliance upon evidence that emanated from persons who where no traditional custodians of such information; (f) There was no evidence from which the First Respondent could reasonably have concluded that the Gubbi Gubbi People withdrew from the agreement making process; (g) The evidence showed that the Gubbi Gubbi People were not afforded the opportunity to separately consider the terms of the ILUA in accordance with the their mandatory traditional decision making process, in circumstances where the persons said to hold native title where encompassed by three separately represented constituent groups; (h) By reason of the matters referred to in paragraphs 1(a) (g) hereof the Applicants are not bound by the Kabi Kabi Peoples authorisation decision and did not themselves authorise the meeting of the ILUA. 2. The First Respondent erred in law and/or improperly exercise the power conferred on her in: (a) Limiting her registration decision to the criteria set out in Section 24CL of the Native Title Act ; (b) Failing to consider or properly consider whether the ILUA was an area agreement that complied with the requirements of Sections 24CB and 24CE of the Native Title Act . (c) Failing to find that the Cultural Heritage Investigation Management Agreement (""the CHIMA"") component of the ILUA contravened the provisions of the ACHA and so by reason of Section 24CE of the Native Title Act , that the ILUA was invalid either in whole or in part and was thereby no an area agreement capable of being registered. (d) Failing to find that the CHIMA component of the ILUA in so far as it dealt with the regulation of Cultural Heritage matters over land where Native Title rights had been extinguished was no properly the subject matter of an area agreement pursuant to Section 24CB of the Native title Act and thereby the ILUA was not an area agreement capable of being registered. Particulars (a) The CHIMA regulates Aboriginal Cultural Heritage matters as defined in the ACHA over areas where Native Title rights have been extinguished; and (b) To the extent that the ILUA deal with areas where Native Title rights have been extinguished: (i) The Aboriginal Party under the ACHA ought to have been a party to the ILUA as required by Section 23(3)(a)(iii) of the ACHA; (ii) The Aboriginal ILUA Parties did not have standing under the Native Title Act to enter into ILUA which purported to regulate Aboriginal Cultural Heritage matters over such areas; and (iii) It is not competent for an ILUA to deal with Cultural Heritage maters properly regulated by existing State legislation over land where Native Title rights do not exist."
cited,Siminton v Australian Prudential Regulation Authority [2006] FCAFC 118,"The order for costs of $500,000 made by Olsson AJ involved a determination of the rights and liabilities of the parties to the inquiry application in respect of the costs of and incidental to that application that were incurred by them. Mr Cirillo has not sought to have this order set aside. In consequence it stands as a valid and conclusive order of a superior court of record unless and until it is set aside: see Siminton v Australian Prudential Regulation Authority [2006] FCAFC 118 at [27] - [30] . 30 As best I can understand the changing picture presented by counsel for Mr Cirillo in submissions it has no reflection in the present pleadings the damages claimed for the proposed tort of abuse of process include, it would seem, at least that part of his own solicitor and client costs in the inquiry as to damages which were incurred in consequence of the conduct of the respondents alleged to give rise to the tort. I am uncertain what else the damages would include although it again seems likely that, as in the present application, Mr Cirillo would also be attempting to be relieved indirectly of the obligation to pay some, or part of, the monies he has been ordered to pay under the consent order."
cited,O R Cormack Pty Ltd v Commissioner of Taxation (Cth) (1992) 92 ATC 4121,"French J drew attention to the statutory context and the general principles that the classification of goods attracting exemptions or beneficial rates of tax should be liberally construed unless the text or context requires a narrower construction, and that words or phrases should be construed according to their popular meaning unless the evidence establishes that they carry a special commercial or trade meaning in their context: at 457 and 464. His Honour also noted that generalisations about the construction of statutory classifications are to be undertaken with caution, and that subtle changes in language can significantly alter the meaning and operation of a particular provision. French J contrasted the construction given by the authorities to the expression 'ordinarily used for household purposes' with the construction given to the expression 'goods for use' in some specified activity or by some specified person or entity. The former expression has attracted an objective test for characterisation of the goods said to fall within it: see Commissioner of Taxation (Cth) v Newbound &amp; Co Pty Ltd (1952) 10 ATD 59; 26 ALJR 386 at 387 per Dixon CJ; Commissioner of Taxation (Cth) v Sherwood Overseas Pty Ltd (1985) 75 FLR 474 at 477; O R Cormack Pty Ltd v Commissioner of Taxation (Cth) (1992) 92 ATC 4121 at 4123; and Hygienic Lily at 399. In the light of these authorities, French J expressed the test as follows, at 460: 'The question whether goods are ""ordinarily used for household purposes"" does not depend critically upon the use to which they are in fact put but on an assessment of their ""essential character"". That assessment does not involve fine semantic distinctions but a judgment which pays regard to the commercial realities of their manufacture and sale.'"
referred to,Audio Products Group Pty Ltd v Mamone [2005] NSWSC 982,"The respondents' submission that Mr Donovan, as a member of a class of possible objects of appointment, has no proprietary interest in the trust assets is correct: In re Coleman; Henry v Strong (1888) 39 Ch D 443 ; In re Weir's Settlement Trusts; Macpherson v Inland Revenue Commissioners [1971] Ch 145. However, I do not think that is fatal to the applicants' application. I say that for the following reason. I think the test formulated by the High Court in Cardile ((ii) in the passage quoted above at [15]) and reflected in O 25A r 5(5) is wide enough to cover the present circumstances. Both refer to a process which ""is or may ultimately be available"" and the fact that the third party "" may be obliged to disgorge assets"" or contribute towards satisfying the judgment or prospective judgment. It is possible that Mr Donovan will receive an interest under the Stephen Donovan Family Trust which is recoverable by a trustee in bankruptcy in the event that the applicants obtain a judgment against Mr Donovan and he is placed into bankruptcy upon being unable to satisfy that judgment. I am mindful of the fact that considerable caution must be exercised in making freezing orders against third parties, but at the same time there needs to be some flexibility in the test, as the circumstances of this case plainly show. Other courts have considered that the use of the word ""may"" is significant: Westpac Banking Corporation v Hilliard [2001] VSC 187 ; Audio Products Group Pty Ltd v Mamone [2005] NSWSC 982 ; Robmatjus Pty Ltd v Violet Home Loans Australia Pty Ltd [2007] VSC 165."
considered,Comcare v Fiedler [2001] FCA 1810 ; (2001) 115 FCR 328,"The applicant justifies the raising of those issues for the first time on appeal on the basis of an asserted obligation of the Tribunal to inquire into and correctly consider questions of law arising on the matter before it, even in the face of concessions or admissions by the parties. It relies upon Comcare v Fiedler [2001] FCA 1810 ; (2001) 115 FCR 328 at [36] [39] for that proposition. 32 I do not consider that that decision supports its contention. That case relevantly concerned the question of whether the Tribunal had erred in failing to address the question under s 24(2)(c) of the Safety, Rehabilitation and Compensation Act 1988 (Cth) of whether the employee claiming compensation had undertaken all reasonable rehabilitative treatment for the impairment which was compensable. That consideration was relevant to whether the injury had resulted in permanent impairment, so as to entitle the employee concerned to a lump sum compensation payment. The Full Court (Drummond, Kiefel and Dowsett JJ) at [39] said: The Tribunal is not, as a general rule, required to ignore the fact that one or both parties have made admissions or concessions, express or implied, that particular issues which the original decision-maker may have had to consider need not be the subject of inquiry and determination by the Tribunal. The Tribunal will, however, fall into error of law by failing to inquire of its own motion into, and make a finding on, an issue the subject of an admission or concession by a party that is material to its decision if there is reason to doubt that the admission or concession is factually justified. But in the absence of there being some reason to question the admission or concession, the Tribunal will generally be entitled not to inquire into the issue for itself, but to act on that admission or concession in making its decision. 33 In my judgment, the conduct of the matter before the Tribunal clearly indicates that, at least impliedly, the applicant did not seek to ventilate the issues arising under ss 10(7) or 63 of the Act, and restricted itself to the matters which the Tribunal identified. The Tribunal in those circumstances was quite entitled to proceed upon the basis that those matters were not contentious. It did not err in failing to address them. Consequently, the applicant is not now entitled to assert or cannot succeed in asserting that the Tribunal erred in law by failing to do so."
cited,La Rosa Constructions Pty Limited v PWR Developments Pty Limited [2004] NSWSC 235,"(For similar statements considering the purpose of an award of security for costs, see Lord Aldborough v Burton (1834) 2 My &amp; K 401, 39 ER 997; Harpur v Ariadne Australia Ltd (1984) 2 Qd R 523 at 530; Re Energy Drilling Inc (unreported, Federal Court of Australia, Gummow J, 3 May 1989) at [24]; Microcorp Pty Ltd v Terran Computers Pty Ltd (unreported, Federal Court of Australia, Northrop J, 26 June 1992) at 16; Phoenix Court Pty Ltd v Melbourne Central Pty Ltd [1998] 753 FCA (19 June 1998); Silveira v Australian Institute of Management [2001] FCA 1358 at [6] ; Rocter Tanks Pty Ltd v Adam [2001] SASC 196 at [25] ; Fiduciary Ltd v Morningstar Research Pty Ltd (2004) 208 ALR 564; Wollongong City Council v FPM Constructions Pty Limited [2004] NSWSC 523 at [19] ; La Rosa Constructions Pty Limited v PWR Developments Pty Limited [2004] NSWSC 235 at [7] ; Baygol Pty Ltd v Huntsman Chemical Co Australia Pty Ltd t/a RMAX [2004] FCA 1248 at [9] ; Interline Hydrocarbon Inc v Brenzil Pty Ltd [2005] QSC 109 at [34] .)"
referred to,"Gararth v Minister for Immigration, Multicultural and Indigenous Affairs [2006] FCA 316","In Gararth v Minister for Immigration, Multicultural and Indigenous Affairs [2006] FCA 316 , Wilcox J said at [62] that there is ample authority for the proposition that excessive, unexplained delay will justify the refusal of relief. As to the length of time which will be considered excessive, his Honour said that it must always be necessary for the Court to examine all of the circumstances of the case. 31 Wilcox J went on to say that there is no rigid rule about the length of delay, although a delay of five years would ordinarily be difficult to excuse and two years would require explanation; see at [62] [63]. His Honour referred to the observations of McHugh J in Marks and Madgwick J at first instance in S58 ; see [2004] FCA 451."
cited,Corporate Affairs Commission (NSW) v Walker (1987) 11 ACLR 884,"Nevertheless, and this is the third observation, the remedies available under s 1323 are dramatic and the court should exercise care before making any order. While it is not necessary to show that the aggrieved person in fact has a case against the relevant person in order to obtain an interim injunction, the strength of the case is important. If the investigation is in its early stages it may be enough to show a possible case against the relevant person or the person on whose behalf the relevant person holds property. If the investigation is in late stages, or has been completed, probably no order should be made (or continued) unless the evidence suggests a prime facie case of liability: see generally Corporate Affairs Commission (NSW) v Walker (1987) 11 ACLR 884; Corporate Affairs Commission (SA) v Lone Star Exploration NL (No 2) (1988) 14 ACLR 499; Australian Securities Commission v A S Nominees Ltd (1995) 18 ACSR 459, 511-512."
referred to,Barclays Bank v Tom [1922] 1 KB 221,"Before the various cross-respondents made their applications for leave to defend the applicants' claim against Landmark there was a good deal to be said in favour of the applicants' application. I acknowledge that even at that time there were reasons not to order separate trials. They were the matters often present in cases involving third party proceedings such as the desirability of having all parties bound by the decision between the plaintiff and the defendant so as to avoid the possibility of inconsistent findings, the additional cost and expense of two trials and the disadvantages to a defendant in two trials including possibly having to satisfy a judgment in favour of the plaintiff well before his claim against the third party is determined: Barclays Bank v Tom [1922] 1 KB 221; New World Oil and Developments Pty Limited v 163 Clarence Street Pty Limited [1995] FCA 138. However, in this case there were a number of weighty considerations on the other side. First, there was a large number of factual issues raised on the various cross-claims all of which at that point appeared to be of no relevance to the applicants' claim against Landmark. That was so because the proportionate liability provisions as properly construed appeared to be irrelevant because there was little to indicate at that time to suggest that any of the cross-respondents were directly liable to the applicants. Secondly, the applicants' claim against Landmark was a good deal more advanced in terms of being ready for trial than were any of the cross-claims. Thirdly, the applicants' difficult financial situation was relevant as was the fact that, if liability was established, that had been brought about by Landmark's conduct. 81 In addition, I refer to, without setting out, the observation of Scrutton LJ in Barclays Bank v Tom [1922] 1 KB 221 at 224."
cited,Dranichnikov v Minister for Immigration and Multicultural Affairs [2003] HCA 26 ; (2003) 197 ALR 389,"These conclusions can be fortified by the recognition, so often stated, that the Tribunal is engaged in an inquisitorial process: Re Ruddock; Ex parte S154 201 ALR at 450-451 [57]-[58], 455-6 [81], 457 [86] and [88]; Miah [2001] HCA 22 ; 206 CLR 57 at 69-70 [31] - [32] ; Re Refugee Review Tribunal; ex parte H [2001] HCA 28 ; (2001) 179 ALR 425 at 435 [29] - [31] ; Muin v Refugee Review Tribunal [2002] HCA 30 ; (2002) 190 ALR 601 at 648 [208] ; Minister for Immigration and Multicultural Affairs v Respondents S152/2003 (2004) 205 ALR 487 at 513 [97]; Re Minister for Immigration and Multicultural Affairs; ex parte Epeabaka [2001] HCA 23 ; (2001) 206 CLR 128 at 146 [52] ; Abebe v Commonwealth [1999] HCA 14 ; (1999) 197 CLR 510 at 576 [187] ; NCSC v News Corporation Limited [1984] HCA 29 ; (1984) 156 CLR 296 at 315; Re Refugee Review Tribunal; ex parte Aala [2000] HCA 57 ; (2006) 204 CLR 82 at [75] ; Re Minister for Immigration and Multicultural and Indigenous Affairs; ex parte Applicants S134 [2003] HCA 1 ; (2003) 195 ALR 1 at 8; Dranichnikov v Minister for Immigration and Multicultural Affairs [2003] HCA 26 ; (2003) 197 ALR 389 at 405, [78] ; Appellant S395 of 2002 v Minister for Immigration and Multicultural Affairs [2003] HCA 71 ; (2003) 216 CLR 473 at [39] ; VEAL v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 72 ; (2005) 225 CLR 88 at 24; Re Applicant S v Minister for Immigration and Multicultural Affairs [2004] HCA 25 ; (2003) 217 CLR 387 at 413 [76] ; NAFF v Minister for Immigration and Multicultural and Indigenous Affairs [2004] HCA 62 ; (2004) 221 CLR 1 at [22] ; SZAYW v Minister for Immigration and Multicultural and Indigenous Affairs [2006] HCA 49 ; (2006) 229 ALR 423 at [4] ; SZBEL 228 CLR 592 at [40]; SZFDE [2007] HCA 35 at [30] ; Minister of Immigration and Multicultural Affairs v Wang [2003] HCA 11 ; (2003) 215 CLR 518 at 540-41 [71] , 526 [18] and 531 [37]; SAAP v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 24 ; (2005) 215 ALR 162 at [111] ff and [199]; NAIS v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 77 ; (2005) 223 ALR 171 at [9] , [69] and [165]."
referred to,Corporation of the City of Enfield v Development Assessment Commission and Another [2000] HCA 5 ; (1999) 199 CLR 135,"Corporation of the City of Enfield v Development Assessment Commission and Another [2000] HCA 5 ; (1999) 199 CLR 135 at [28] the High Court of Australia observed: The term ""jurisdictional fact"" (which may be a complex of elements) is often used to identify that criterion, satisfaction of which enlivens the power of the decision-maker to exercise a discretion."
applied,D&eacute;cor Corporation Pty Ltd v Dart Industries Inc (1991) 33 FCR 397,"The question whether leave to appeal should be granted falls to be determined according to the criteria set down by the Full Court in D&eacute;cor Corporation Pty Ltd v Dart Industries Inc (1991) 33 FCR 397. First, whether the impugned decision is attended with sufficient doubt to warrant its reconsideration. Secondly, whether substantial injustice would result if leave were not granted, supposing that the impugned decision was wrong. 21 The applicant, by his submissions, contends that: ""9. ... The proposition that [the second respondent] and/or Mr Ariss could have been expected to contend for, if present before the [Federal Magistrates] Court, namely, that they or one of them was the true owner of the jewellery, was clearly articulated as was the basis upon which they might seek to rely to establish such a claim: (a) there was express disclosure that [the second respondent] and Mr Ariss were persons named as insureds in relation to the jewellery; (b) there was express disclosure that the bankrupt gave evidence that when she asked her husband (ie, Mr Ariss) for the jewellery, he said the jewellery was the property of [the second respondent] and that she could not have it; (c) there was express disclosure that when the husband had been examined pursuant to s81 of the Bankruptcy Act , he asserted that he had given certain items of the jewellery to one or both of this daughters, consistent with ownership of the jewellery by him or [the second respondent]; (d) there was express disclosure that the bankrupt expressed the opinion that some of the house contents, the subject of the same policy of insurance, might be owned by [the second respondent] although, like the jewellery, such items of contents were not disclosed as an asset in the balance sheet of [the second respondent]. 10. In order to determine whether or not there was 'material' non-disclosure, it is necessary to have regard to the evidence of the bankrupt as a whole. It is asserted that the fact she had earlier given evidence contrary to the proposition the jewellery was hers was not disclosed. What the transcript of the evidence given by the bankrupt on 22 December 2005 discloses is that she did on occasion give contrary evidence. That is, on occasion she gave evidence that she thought that the jewellery was either that of Mr Ariss or [the second respondent]. However, what is critical is that she was examined as to why she might hold to that view. She said in evidence that she held that view for two reasons, namely: (a) because those persons were named as insureds in relation to the jewellery; and (b) her husband had told her that the jewellery was the property of [the second respondent] or of himself. Both considerations which had led [the bankrupt] to on occasion state that the jewellery might be the property of [the second respondent] or of Mr Ariss were disclosed on the ex parte application, as was the fact there was evidence consistent with such potential claims. 11. The cases establish that, on an application made ex parte, there must be disclosure of material facts. The material facts which were required to be disclosed here were: (a) that [the second respondent] and Mr Ariss were persons who were named as persons having an insured interest in relation to the jewellery. This was disclosed in the King ... affidavit and the relevant insurance documents were exhibited; (b) that Mr Ariss, currently the sole director of [the second respondent], held the view that the jewellery in question was either his or [the second respondent's]. This was also disclosed. 12. The best evidence that Mr Ariss and/or [the second respondent] would claim to be the owners of the jewellery, and the basis of that claim, was before the Federal Magistrates Court. There was direct evidence, of which the Court was informed, that Mr Ariss asserted the jewellery was his or [the second respondent's] and, on that basis, refused to return it to his wife. In those circumstances, the fact there was additional evidence from the bankrupt that, on the basis of the insureds' interest and on the basis of what her husband told her, she believed that the jewellery may be his or [the second respondent's] jewellery, was not material. ... ... 17. The King ... affidavit disclosed that [the second respondent] or Mr Ariss would assert an entitlement to the jewellery. The ... Magistrate knew that was the case they would make and knew there was documentary evidence in support of that case, at least as to an arguable insurable interest, notwithstanding none of the jewellery appeared on the balance sheet of [the second respondent]."" 28 The Magistrate's decision is not attended with sufficient doubt to warrant its reconsideration. I do not think it necessary to go on to consider whether substantial injustice would result if leave were not granted, supposing that the Magistrate's decision was wrong. The two limbs of the test in D&eacute;cor Corporation cannot be considered in isolation from one another: see D&eacute;cor Corporation at 398-399. The prospect that an appeal, if leave were granted, would be successful is so remote that it would be artificial to suppose that the decision below is wrong. See Applicant VMAO v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2005] FCA 427 at [22] ."
related,Citrus Queensland Pty Ltd v Sunstate Orchards Pty Ltd (No 2) [2006] FCA 1001,"The following issues do not appear to be in contention: 1. The applicants in their written submissions conceded the general principle that costs follow the event, and that subject to consideration of a number of issues the applicants are not in a position to argue against an order that they pay the respondents' costs in these proceedings, including reserved costs. 2. On 4 August 2006 I made orders determining two notices of motion, one brought by each party, concerning further disclosure ( Citrus Queensland Pty Ltd v Sunstate Orchards Pty Ltd (No 2) [2006] FCA 1001). Each party had success on its motion. I reserved the costs of both notices of motion, and the applicants submit that no costs order should be made on either notice of motion. This approach is not contested by the respondents, and I propose to adopt it. 3. In relation to the hearings of 6 and 9 November 2006: &#8226; On 6 November 2006 I made directions to facilitate the bringing of an application for security for costs by the respondents, and reserved the costs of that directions hearing. &#8226; On 9 November 2006 I dismissed the application for security for costs brought by the respondents, and ordered that costs be reserved: Citrus Queensland Pty Ltd v Sunstate Orchards Pty Ltd (No 3) [2006] FCA 1498. &#8226; The applicants submitted that the security for costs application was a discrete application lost by the respondents and that they should have the costs of the directions hearing on 6 November and the costs of the application for security for costs having regard to the order of 9 November 2006. This submission is not contested by the respondents in their written submissions. I accept the submissions of the applicants and order that the costs of the applicants of the hearings of 6 November 2006 and 9 November 2006 be paid by the first and second respondents on a party to party basis. 4. In their written submissions the applicants also conceded that they were not in a position to resist an order that they pay the respondents' costs for the remaining interlocutory hearings, with the exception of costs associated with orders made on 18 July 2006 and 21 July 2006. I will deal with these costs later in the judgment."
followed,Toll (FCGT) Pty Limited v Alphapharm Pty Limited [2004] HCA 52 ; (2004) 219 CLR 165,"The deed poll is not, in itself, a contract between legal persons. But it is a commercial document intended to be the foundation of a contractual relationship embodied in the notes when issued. The ordinary principles of construction of contracts should be applied to the provisions of the deed poll, as well as to the transaction overall. These principles require the rights of the parties to be determined objectively, without reference to their subjective beliefs or understandings about what rights or liabilities would govern their relationship. What matters is what each party, by words and conduct, would have led a reasonable person in the position of the other party to believe. In this context, the role of the Court is to ascertain the common intention of the parties in the commercial matrix in which they contracted. This process involves discerning, in context, what a reasonable person would understand from the language in which the parties expressed their agreement, having regard to the objective surrounding circumstances with the purpose and the object of a transaction: Toll (FGCT) Pty Limited v Alphapharm Pty Limited [2004] HCA 52 ; (2004) 219 CLR 165 at 179 [40] per Gleeson CJ, Gummow, Hayne, Callinan and Heydon JJ. The commercial purpose of a contract is, in essence, the purpose attributable to a reasonable person in the position of the parties who is aware of what was known at the time to both of them about the genesis of the transaction, its background, context and the market in which they were operating."
cited,Aiden Shipping Co Ltd v Interbulk Ltd [1986] 1 AC 965,"It is unnecessary and irrelevant to distinguish, in the present context, between a court that admits persons to practise as solicitors or barristers or both, and has an inherent disciplinary jurisdiction over persons so admitted as its officers, on the one hand, and a statutory court such as this Court on the other hand. In De Sousa v Minister for Immigration, Local Government and Ethnic Affairs (1993) 41 FCR 544, a case that pre-dated O 62 r 9(1) of the FC Rules in its present form, French J held that s 43 alone empowered the court to make a costs order against a solicitor. His Honour said that the Court's power to do so was to be seen as part of a wider power under the section to make a costs order against non-parties generally, and referred to Aiden Shipping Co Ltd v Interbulk Ltd [1986] 1 AC 965 (' Aiden ') and Knight v FP Special Assets Ltd [1992] HCA 28 ; (1992) 174 CLR 178 ( 'Knight' ). In those cases, orders were made against non-parties other than legal practitioners under the general provisions conferring power to order costs (in Aiden , s 51(1) of the Supreme Court Act 1981 (UK); and in Knight , s 58 of the Supreme Court Act 1867 (Qld) and O 91 r 1 of the Rules of the Supreme Court of Queensland). A rule such as O 62 r 9(1) does not reduce the power to order costs conferred otherwise."
